Matched_RM,Year,Weighted_Avg_Wheat_Yield,Precipitation,TOPSIS_Score,Rank
STANLEY,2023,57.9909267085386,31.189655172413797,0.5128675218946643,63.0
MCCREARY,2023,56.32043758306922,39.80434782608695,0.5114618243095029,64.0
WESTLAKE-GLADSTONE,2023,59.40711219804353,21.99333333333333,0.5096692359856919,65.0
ALONSA,2023,55.7,41.84897959183674,0.5081028402076442,66.0
GREY,2023,57.26062567421791,32.63235294117647,0.507015334489884,67.0
GLENELLA-LANSDOWNE,2023,58.70545942811803,23.712871287128717,0.5051463085533896,68.0
DESALABERRY,2023,50.43050847457628,64.52727272727273,0.4909482529981421,69.0
ELLICE-ARCHIE,2023,55.57677242986466,28.927710843373493,0.47784016237199917,70.0
CARTWRIGHT-ROBLIN,2023,55.4234708329645,27.29090909090909,0.47260725340459514,71.0
MACDONALD,2023,53.52124224154532,38.81609195402299,0.47224187316024685,72.0
BRENDA-WASKADA,2023,55.21095293193934,27.714285714285715,0.47078069793430455,73.0
LAKESHORE,2023,52.486836123165936,40.9009009009009,0.4630241292763613,74.0
NORTH NORFOLK,2023,55.42168907977189,21.617021276595743,0.46183542248158066,75.0
DUFFERIN,2023,51.8243819785376,33.625,0.43863803253584865,76.0
PIPESTONE,2023,51.01629156490701,25.964285714285715,0.41376439778101637,77.0
ROLAND,2023,49.08776145361344,33.1,0.400880151121106,78.0
GRAHAMDALE,2023,47.27342329128777,43.850515463917525,0.3987498622390058,79.0
ETHELBERT,2023,47.962283044058736,32.82954545454545,0.38509587550994334,80.0
ARMSTRONG,2023,46.3,39.19230769230769,0.37507886095900267,81.0
TWO BORDERS,2023,47.03515087347803,26.167630057803468,0.361243853556077,82.0
KELSEY,2023,41.98944396177237,56.16216216216216,0.36016460078640045,83.0
MORRIS,2023,40.87664889872272,43.01123595505618,0.30991992785303996,84.0
SIFTON,2023,40.666,34.68333333333333,0.28800157746165744,85.0
MOSSEY RIVER,2023,30.721936951576208,34.13186813186813,0.15226899579432512,86.0
WEST INTERLAKE,2023,22.0,42.92465753424658,0.12376697502681977,87.0
